=================================
PREDICTED CLASSIFICATION
=================================

0,4
1,3
2,12
3,2
4,10
5,9
6,5
7,9
8,6
9,7
10,6
11,0
12,2
13,24
14,7
15,19
16,14
17,21
18,18
19,7
20,9
21,7
22,21
23,9
24,21
25,3
27,15
26,3
28,5
29,23
30,17
31,8
32,12
33,15
34,14
35,1
36,24
37,11
38,17
39,23
40,22
41,5
42,17
43,20
44,10
45,11
46,0
47,20
48,16
49,10
50,17
51,15
52,9
53,13
54,13
55,12
56,7
57,8
58,5
59,12
60,15
61,19
62,20
63,11
64,24
65,2
66,21
67,12
68,25
69,13
70,12
71,22
72,9
73,8
74,14
75,12
76,6
77,9
78,14
